englishName,isPlanet,density,gravity,discoveredBy,discoveryDate,bodyType,bodyId
136472 Makemake,False,1.4,0.5,Michael E. Brown y Chadwick Trujillo y David L. Rabinowitz,31/03/2005,Dwarf Planet,237
Halley's Comet,False,1,0,,,Comet,238
Jupiter,True,1.3262,24.79,,,Planet,239
Mars,True,3.9341,3.71,,,Planet,240
Mercury,True,5.4291,3.7,,,Planet,241
Saturn,True,0.6871,10.44,,,Planet,242
Sun,False,1,0,,,Star,243
Earth,True,5.5136,9.8,,,Planet,244
Venus,True,5.243,8.87,,,Planet,245
Kerberos,False,1,0,Télescope spatial Hubble - Pluto Companion Search Team,20/07/2011,Moon,246
S/2011 J 1,False,1,0,Scott S. Sheppard,29/01/2012,Moon,247
S/2011 J 2,False,1,0,Scott S. Sheppard,29/01/2012,Moon,248
Styx,False,1,0,Télescope spatial Hubble - Pluto Companion Search Team - Mark Showalter,11/07/2012,Moon,249
Hippocamp,False,1,0,Mark Showalter,01/07/2013,Moon,250
S/2015 (136472) 1,False,1,0,Alex H. Parker y Marc W. Buie y M. Grundy y Keith S. Noll,26/04/2016,Moon,251
S/2017 J 1,False,1,0,Scott Sheppard,06/06/2017,Moon,252
S/2016 J 1,False,1,0,Scott Sheppard,06/06/2017,Moon,253
Valetudo,False,1,0,Scott Sheppard,17/07/2018,Moon,254
S/2017 J 2,False,1,0,Scott Sheppard,17/07/2018,Moon,255
S/2017 J 3,False,1,0,Scott Sheppard,17/07/2018,Moon,256
Pandia,False,1,0,Scott Sheppard,17/07/2018,Moon,257
S/2017 J 5,False,1,0,Scott Sheppard,17/07/2018,Moon,258
S/2017 J 6,False,1,0,Scott Sheppard,17/07/2018,Moon,259
S/2017 J 7,False,1,0,Scott Sheppard,17/07/2018,Moon,260
S/2017 J 8,False,1,0,Scott Sheppard,17/07/2018,Moon,261
S/2017 J 9,False,1,0,Scott Sheppard,17/07/2018,Moon,262
Ersa,False,1,0,Scott Sheppard,17/07/2018,Moon,263
Arrokoth,False,1,0,Télescope spatial Hubble,26/06/2014,Asteroid,264
101955 Bennu,False,1,0,LINEAR,11/09/1999,Asteroid,265
Angrboda,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,266
S/2004 S 21,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,267
Gridr,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,268
Skrymir,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,269
S/2004 S 24,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,270
Gerd,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,271
S/2004 S 26,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,272
Eggther,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,273
S/2004 S 28,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,274
S/2004 S 29,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,275
Beli,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,276
S/2004 S 31,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,277
Gunnlod,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,278
Thiazzi,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,279
S/2004 S 34,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,280
Alvaldi,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,281
S/2004 S 36,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,282
S/2004 S 37,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,283
Geirrod,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,284
S/2004 S 39,False,0,0,S. Sheppard y D. Jewitt y J. Kleyna,2004,Moon,285
C/2020 F3 (NEOWISE),False,0,0,Wide-Field Infrared Survey Explorer,27/03/2020,Comet,286
S/2004 S 41,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,287
S/2003 J 24,False,0,0,Scott S. Sheppard,05/02/2003,Moon,288
S/2004 S 40,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna,2004,Moon,289
S/2004 S 42,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,290
S/2004 S 43,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,291
S/2004 S 44,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman,2004,Moon,292
S/2004 S 45,False,0,0,D.C. Jewitt y S.S. Sheppard y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,293
S/2004 S 46,False,0,0,S.S. Sheppard y D.C. Jewitt y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,294
S/2004 S 47,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,295
S/2004 S 48,False,0,0,D.C. Jewitt y S.S. Sheppard y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,296
S/2004 S 49,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,297
S/2004 S 50,False,0,0,S.S. Sheppard y D.C. Jewitt y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,298
S/2004 S 51,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,299
S/2004 S 52,False,0,0,D.C. Jewitt y S.S. Sheppard y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,300
S/2004 S 53,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2004,Moon,301
S/2005 S 4,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2005,Moon,302
S/2005 S 5,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2005,Moon,303
S/2006 S 10,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2006,Moon,304
S/2006 S 11,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2006,Moon,305
S/2006 S 12,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2006,Moon,306
S/2006 S 13,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2006,Moon,307
S/2006 S 14,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2006,Moon,308
S/2006 S 15,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman,2006,Moon,309
S/2006 S 16,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2006,Moon,310
S/2006 S 17,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman,2006,Moon,311
S/2006 S 18,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2006,Moon,312
S/2006 S 19,False,0,0,S.S. Sheppard y D.C. Jewitt y J. Kleyna y E.J. Ashton y B.J. Gladman y J.-M. Petit y M. Alexandersen,2006,Moon,313
